Year,Ceremony,Award,Winner,Name,Film
1941,14,Outstanding Motion Picture,,Blossoms in the Dust ,Metro-Goldwyn-Mayer
1941,14,Outstanding Motion Picture,,Citizen Kane ,Mercury
1941,14,Outstanding Motion Picture,,Here Comes Mr. Jordan ,Columbia
1941,14,Outstanding Motion Picture,,Hold Back the Dawn ,Paramount
1941,14,Outstanding Motion Picture,1,How Green Was My Valley ,20th Century-Fox
1941,14,Outstanding Motion Picture,,The Little Foxes ,Samuel Goldwyn Productions
1941,14,Outstanding Motion Picture,,The Maltese Falcon ,Warner Brothers
1941,14,Outstanding Motion Picture,,One Foot in Heaven ,Warner Brothers
1941,14,Outstanding Motion Picture,,Sergeant York ,Warner Brothers
1941,14,Outstanding Motion Picture,,Suspicion ,RKO Radio
1942,15,Outstanding Motion Picture,,The Invaders ,Ortus
1942,15,Outstanding Motion Picture,,Kings Row ,Warner Brothers
1942,15,Outstanding Motion Picture,,The Magnificent Ambersons ,Mercury
1942,15,Outstanding Motion Picture,1,Mrs. Miniver ,Metro-Goldwyn-Mayer
1942,15,Outstanding Motion Picture,,The Pied Piper ,20th Century-Fox
1942,15,Outstanding Motion Picture,,The Pride of the Yankees ,Samuel Goldwyn Productions
1942,15,Outstanding Motion Picture,,Random Harvest ,Metro-Goldwyn-Mayer
1942,15,Outstanding Motion Picture,,The Talk of the Town ,Columbia
1942,15,Outstanding Motion Picture,,Wake Island ,Paramount
1942,15,Outstanding Motion Picture,,Yankee Doodle Dandy ,Warner Brothers
1943,16,Outstanding Motion Picture,1,Casablanca ,Warner Brothers
1943,16,Outstanding Motion Picture,,For Whom the Bell Tolls ,Paramount
1943,16,Outstanding Motion Picture,,Heaven Can Wait ,20th Century-Fox
1943,16,Outstanding Motion Picture,,The Human Comedy ,Metro-Goldwyn-Mayer
1943,16,Outstanding Motion Picture,,In Which We Serve ,Two Cities
1943,16,Outstanding Motion Picture,,Madame Curie ,Metro-Goldwyn-Mayer
1943,16,Outstanding Motion Picture,,The More the Merrier ,Columbia
