abbreviation,year,income_per_person_gdppercapita_ppp_inflation_adjusted,life_expectancy_years,population_total,region,country_name
afg,2019,1763,64.08,38041757,asia,Afghanistan
ago,2019,5544,65,31825299,africa,Angola
alb,2019,12694,78.47,2880913,europe,Albania
are,2019,65650,73.63,9770526,asia,United Arab Emirates
arg,2019,17529,76.96,44780675,americas,Argentina
arm,2019,9728,75.9,2957728,europe,Armenia
atg,2019,24463,77.28,97115,americas,Antigua and Barbuda
aus,2019,45495,82.7,25203200,asia,Australia
aut,2019,46873,81.98,8955108,europe,Austria
aze,2019,16248,71.07,10047719,europe,Azerbaijan
bdi,2019,644,62.25,11530577,africa,Burundi
bel,2019,43517,81.7,11539326,europe,Belgium
ben,2019,2230,65.26,11801151,africa,Benin
bfa,2019,1808,62.5,20321383,africa,Burkina Faso
bgd,2019,4139,73.66,163046173,asia,Bangladesh
bgr,2019,20150,75.11,7000117,europe,Bulgaria
bhr,2019,41966,79.76,1641164,asia,Bahrain
bhs,2019,28774,74.1,389486,americas,Bahamas
bih,2019,13120,77,3300998,europe,Bosnia and Herzegovina
blr,2019,18046,74.47,9452409,europe,Belarus
blz,2019,7818,74.42,390351,americas,Belize
bol,2019,7152,73.34,11513102,americas,Bolivia
bra,2019,14307,75.93,211049519,americas,Brazil
brb,2019,16640,77.33,287021,americas,Barbados
brn,2019,72376,75.63,433296,asia,Brunei
btn,2019,9708,74.73,763094,asia,Bhutan
bwa,2019,16781,69.85,2303703,africa,Botswana
caf,2019,794,52.91,4745179,africa,Central African Republic
can,2019,44181,82.18,37411038,americas,Canada
che,2019,59044,84.27,8591361,europe,Switzerland
chl,2019,23012,79.97,18952035,americas,Chile
chn,2019,17122,77.51,1433783692,asia,China
civ,2019,3911,63.32,25716554,africa,Cote d'Ivoire
cmr,2019,3401,63.82,25876387,africa,Cameroon
cod,2019,838,63.05,86790568,africa,"Congo, Dem. Rep."
cog,2019,5096,63.25,5380504,africa,"Congo, Rep."
col,2019,13630,80.49,50339443,americas,Colombia
com,2019,2478,69.07,850891,africa,Comoros
cpv,2019,6911,76.2,549936,africa,Cape Verde
cri,2019,15824,79.84,5047561,americas,Costa Rica
