country,region,year,population,income_per_person,life_expectancy
Afghanistan,asia,1799,3280000,60,28.2
Afghanistan,asia,1800,3280000,60,28.2
Afghanistan,asia,1801,3280000,60,28.2
Afghanistan,asia,1802,3280000,60,28.2
Afghanistan,asia,1803,3280000,60,28.2
Afghanistan,asia,1804,3280000,60,28.2
Afghanistan,asia,1805,3280000,60,28.1
Afghanistan,asia,1806,3280000,60,28.1
Afghanistan,asia,1807,3280000,60,28.1
Afghanistan,asia,1808,3280000,60,28.1
Afghanistan,asia,1809,3280000,60,28.1
Afghanistan,asia,1810,3280000,60,28.1
Afghanistan,asia,1811,3280000,60,28.1
Afghanistan,asia,1812,3280000,60,28.1
Afghanistan,asia,1813,3280000,60,28.1
Afghanistan,asia,1814,3280000,60,28.1
Afghanistan,asia,1815,3280000,60,28.1
Afghanistan,asia,1816,3280000,60,28
Afghanistan,asia,1817,3280000,60,28
Afghanistan,asia,1818,3280000,60,28
Afghanistan,asia,1819,3290000,60,28
Afghanistan,asia,1820,3300000,60,28
Afghanistan,asia,1821,3310000,60,28
Afghanistan,asia,1822,3320000,61,28
Afghanistan,asia,1823,3340000,61,28
Afghanistan,asia,1824,3350000,61,27.9
Afghanistan,asia,1825,3370000,61,27.9
Afghanistan,asia,1826,3380000,61,27.9
Afghanistan,asia,1827,3400000,62,27.9
Afghanistan,asia,1828,3410000,62,27.9
Afghanistan,asia,1829,3430000,62,27.9
Afghanistan,asia,1830,3450000,62,27.9
Afghanistan,asia,1831,3460000,630,27.9
Afghanistan,asia,1832,3480000,63,27.9
Afghanistan,asia,1833,3490000,63,27.9
Afghanistan,asia,1834,3510000,63,27.9
Afghanistan,asia,1835,3520000,63,27.8
Afghanistan,asia,1836,3540000,640,27.8
Afghanistan,asia,1837,3550000,64,27.8
Afghanistan,asia,1838,3570000,64,27.8
Afghanistan,asia,1839,3590000,64,27.8
Afghanistan,asia,1840,3600000,64,27.8
Afghanistan,asia,1841,3620000,65,27.8
Afghanistan,asia,1842,3630000,65,27.8
Afghanistan,asia,1843,3650000,65,27.8
Afghanistan,asia,1844,3670000,65,27.8
Afghanistan,asia,1845,3680000,660,27.7
Afghanistan,asia,1846,3700000,66,27.7
Afghanistan,asia,1847,3720000,66,27.7
Afghanistan,asia,1848,3730000,66,27.7
Afghanistan,asia,1849,3750000,66,27.7
Afghanistan,asia,1850,3770000,67,27.7
Afghanistan,asia,1851,3790000,67,27.7
Afghanistan,asia,1852,3810000,67,27.7
Afghanistan,asia,1853,3830000,67,27.7
Afghanistan,asia,1854,3840000,68,27.6
Afghanistan,asia,1855,3860000,68,27.6
Afghanistan,asia,1856,3880000,68,27.6
Afghanistan,asia,1857,3900000,68,27.6
Afghanistan,asia,1858,3920000,690,27.6
Afghanistan,asia,1859,3940000,69,27.6
Afghanistan,asia,1860,3960000,69,27.6
Afghanistan,asia,1861,3980000,69,27.6
Afghanistan,asia,1862,4000000,69,27.6
Afghanistan,asia,1863,4019999.9999999995,70,27.6
Afghanistan,asia,1864,4040000,70,27.5
Afghanistan,asia,1865,4059999.9999999995,70,27.5
Afghanistan,asia,1866,4080000,70,27.5
Afghanistan,asia,1867,4099999.9999999995,71,27.5
Afghanistan,asia,1868,4120000,71,27.5
Afghanistan,asia,1869,4139999.9999999995,71,27.5
Afghanistan,asia,1870,4160000,71,27.6
Afghanistan,asia,1871,4179999.9999999995,72,27.6
Afghanistan,asia,1872,4210000,72,27.7
Afghanistan,asia,1873,4230000,72,27.8
Afghanistan,asia,1874,4250000,72,27.8
Afghanistan,asia,1875,4270000,73,27.9
Afghanistan,asia,1876,4290000,73,27.9
Afghanistan,asia,1877,4310000,73,28
Afghanistan,asia,1878,4330000,73,28.1
Afghanistan,asia,1879,4350000,74,28.1
Afghanistan,asia,1880,4380000,75,28.2
Afghanistan,asia,1881,4400000,77,28.3
Afghanistan,asia,1882,4420000,79,28.3
Afghanistan,asia,1883,4440000,80,28.4
Afghanistan,asia,1884,4460000,82,28.5
Afghanistan,asia,1885,4490000,840,28.5
Afghanistan,asia,1886,4510000,85,28.6
Afghanistan,asia,1887,4530000,87,28.6
Afghanistan,asia,1888,4550000,89,28.7
Afghanistan,asia,1889,4580000,90,28.8
Afghanistan,asia,1890,4600000,92,28.8
Afghanistan,asia,1891,4620000,94,28.9
Afghanistan,asia,1892,4650000,96,29
Afghanistan,asia,1893,4670000,97,29
Afghanistan,asia,1894,4690000,99,29.1
Afghanistan,asia,1895,4710000,1010,29.1
Afghanistan,asia,1896,4740000,1030,29.2
Afghanistan,asia,1897,4760000,1050,29.3
Afghanistan,asia,1898,4790000,1070,29.3
Afghanistan,asia,1899,4830000,1090,29.4
Afghanistan,asia,1900,4880000,1110,29.5
Afghanistan,asia,1901,4940000,1120,29.5
Afghanistan,asia,1902,5000000,1140,29.6
Afghanistan,asia,1903,5060000,1160,29.7
Afghanistan,asia,1904,5130000,1180,29.7
Afghanistan,asia,1905,5200000,1200,29.8
Afghanistan,asia,1906,5260000,1220,29.9
Afghanistan,asia,1907,5330000,1240,29.9
Afghanistan,asia,1908,5470000,1260,30
Afghanistan,asia,1909,5680000,1280,30
Afghanistan,asia,1910,5980000,1300,30.1
Afghanistan,asia,1911,6360000,1320,30.2
Afghanistan,asia,1912,6850000,1340,30.2
Afghanistan,asia,1913,7370000,1360,30.3
Afghanistan,asia,1914,7920000,1380,30.3
Afghanistan,asia,1915,8520000,1400,30.4
Afghanistan,asia,1916,9170000,1430,30.5
Afghanistan,asia,1917,9880000,1450,7.97
Afghanistan,asia,1918,10300000,1470,30.6
Afghanistan,asia,1919,10600000,1490,30.6
Afghanistan,asia,1920,10500000,1520,30.7
Afghanistan,asia,1921,10300000,1550,30.8
Afghanistan,asia,1922,9710000,1570,30.8
Afghanistan,asia,1923,9200000,1600,30.9
Afghanistan,asia,1924,8720000,1630,31
Afghanistan,asia,1925,8260000,1650,31
