country,region,year,population,income_per_person,life_expectancy
Afghanistan,asia,2021,40800000,1900,65.1
Angola,africa,2021,35000000,5460,66
Albania,europe,2021,2870000,14400,78.8
United Arab Emirates,asia,2021,10100000,64599.99999999999,74
Argentina,americas,2021,46000000,17400,77.4
Armenia,europe,2021,2970000,11100,76.3
Antigua and Barbuda,americas,2021,99500,25600,77.7
Australia,asia,2021,26100000,46800,83.1
Austria,europe,2021,9070000,48200,82.4
Azerbaijan,europe,2021,10300000,16700,71.4
Burundi,africa,2021,12600000,59,63.2
Belgium,europe,2021,11700000,44500,82.2
Benin,africa,2021,12800000,2500,66.2
Burkina Faso,africa,2021,22100000,1980,63.7
Bangladesh,asia,2021,168000000,4960,74.5
Bulgaria,europe,2021,6840000,22400,75.5
Bahrain,asia,2021,1780000,42300,80.2
Bahamas,americas,2021,401000,28700,74.4
Bosnia and Herzegovina,europe,2021,3250000,14300,77.4
Belarus,europe,2021,9430000,18400,74.9
Belize,americas,2021,412000,7650,74.8
Bolivia,americas,2021,12000000,7640,74.1
Brazil,americas,2021,215000000,15000,76.5
Barbados,americas,2021,288000,17200,77.7
Brunei,asia,2021,445000,78800,76
Bhutan,asia,2021,788000,11200,75.6
Botswana,africa,2021,2440000,18200,70.3
Central African Republic,africa,2021,5020000,86,53.9
Canada,americas,2021,38400000,45200,82.6
Switzerland,europe,2021,8770000,59600,84.7
Chile,americas,2021,19300000,24400,80.4
China,asia,2021,1450000000,20100,78
Cote d'Ivoire,africa,2021,27700000,4440,64.3
Cameroon,africa,2021,27900000,3610,64.8
"Congo, Dem. Rep.",africa,2021,95200000,860,63.9
"Congo, Rep.",africa,2021,5800000,4960,63.9
Colombia,americas,2021,51500000,14800,81
Comoros,africa,2021,907000,2560,69.7
Cape Verde,africa,2021,568000,7720,76.8
Costa Rica,americas,2021,5180000,16600,80.4
Cuba,americas,2021,11300000,8870,78.9
Cyprus,europe,2021,1220000,36200,82.5
Czech Republic,europe,2021,10700000,36700,79.9
Germany,europe,2021,83900000,48100,81.4
Djibouti,africa,2021,1020000,3940,69.4
Denmark,europe,2021,5830000,50000,81.4
Dominican Republic,americas,2021,11100000,18500,74
Algeria,africa,2021,45400000,14000,78.7
Ecuador,americas,2021,18100000,10300,77.8
Egypt,africa,2021,106000000,12600,71.4
Eritrea,africa,2021,3660000,1530,64.4
Spain,europe,2021,46700000,37100,83.7
Estonia,europe,2021,1320000,34700,78.9
Ethiopia,africa,2021,121000000,2220,70.2
Finland,europe,2021,5550000,44000,82.3
Fiji,asia,2021,909000,10800,68.7
France,europe,2021,65599999.99999999,41300,83.5
"Micronesia, Fed. Sts.",asia,2021,117000,3300,67.8
Gabon,africa,2021,2330000,17400,69.6
United Kingdom,europe,2021,68500000,41600,81.5
Georgia,europe,2021,3970000,12300,73.6
Ghana,africa,2021,32400000,4800,66.9
Guinea,africa,2021,13900000,2650,62.6
Gambia,africa,2021,2560000,1700,67.5
Guinea-Bissau,africa,2021,2060000,1770,61.6
Equatorial Guinea,africa,2021,1500000,14800,67.3
Greece,europe,2021,10300000,27300,81.8
Grenada,americas,2021,113000,15400,74.3
Guatemala,americas,2021,18600000,7970,73.8
Guyana,americas,2021,794000,8760,69.8
Honduras,americas,2021,10200000,4900,74.9
Croatia,europe,2021,4059999.999999999,27000,79.3
